variable,relative_importance,scaled_importance,percentage
Mor02_diff,154.54515075683594,0.025990489849733005,0.0008682408038806647
Mor19v_diff,153.8376922607422,0.025871513662050722,0.0008642662739109272
Mor19se_diff,153.4576873779297,0.025807606687284962,0.0008621313913648496
Mor09p_diff,153.2693328857422,0.025775930342259726,0.0008610732083360678
Mor23p_diff,152.5120849609375,0.025648580862790555,0.0008568189593754915
Mor30v_diff,152.3175048828125,0.025615857535525338,0.0008557258007572942
MDEN-12_diff,152.29495239257812,0.025612064791038357,0.0008555990999701475
Mor21v_diff,151.91494750976562,0.0255481578162726,0.0008534642174240699
Mor06se_diff,151.78639221191406,0.02552653814624363,0.0008527419886475399
Mor22v_diff,151.7825164794922,0.025525886348476582,0.0008527202146286391
Mor11se_diff,151.5783233642578,0.02549154635745846,0.0008515730495856095
Mor24m_diff,151.21603393554688,0.025430618663037346,0.0008495376931652946
Mor15se_diff,151.07847595214844,0.025407484974573114,0.0008487648869432865
Mor26m_diff,150.92514038085938,0.025381697904647754,0.000847903441604966
Mor03v_diff,150.8692626953125,0.025372300725817358,0.0008475895185450665
Mor26p_diff,150.5225372314453,0.025313990486996195,0.0008456416010982901
Mor07se_diff,150.1569061279297,0.025252500809460975,0.0008435874710160096
Mor09se_diff,150.11585998535156,0.02524559791184935,0.0008433568721544232
Mor29se_diff,149.816650390625,0.025195278611006847,0.0008416759007503902
MINdCH2_diff,149.56423950195312,0.02515282963989477,0.0008402578463383595
Mor03se_diff,149.1887969970703,0.025089689938878407,0.0008381485954129563
Mor12p_diff,148.79588317871094,0.02502361201564446,0.0008359411899535322
Mor08v_diff,148.59632873535156,0.024990052129040437,0.0008348200851535963
Mor26se_diff,147.7209930419922,0.024842843346739907,0.0008299024144124186
GRAVp_diff,147.57911682128906,0.024818983442653333,0.0008291053481614778
Mor07p_diff,147.53001403808594,0.024810725626848797,0.0008288294867724127
Mor05p_diff,147.45162963867188,0.02479754340193024,0.0008283891200988181
Mor18_diff,147.10122680664062,0.024738614725070263,0.0008264205430514311
Mor15v_diff,146.98770141601562,0.024719522695988302,0.0008257827528915043
Mor27v_diff,146.70159912109375,0.02467140770334222,0.000824175418819108
Mor23m_diff,146.6178436279297,0.024657322199628393,0.0008237048771271943
Mor11_diff,146.39883422851562,0.024620490493524435,0.0008224744736103354
Mor23_diff,146.04998779296875,0.024561823562224454,0.0008205146404603022
Mor24_diff,145.75091552734375,0.024511527356578418,0.0008188344405766241
Mor24p_diff,145.73992919921875,0.02450967974086081,0.0008187727189482441
Mor03p_diff,145.41659545898438,0.02445530338383839,0.0008169562171352268
Mor07v_diff,145.33270263671875,0.024441194784928087,0.0008164849039229582
MINssS_diff,145.2327117919922,0.0244243789157649,0.0008159231513802163
Mor23se_diff,145.10671997070312,0.024403190356070036,0.0008152153243169749
Mor18p_diff,145.03675842285156,0.024391424636534983,0.0008148222775584715
Mor12_diff,145.030517578125,0.024390375088162063,0.0008147872162445724
Mor22_diff,144.82186889648438,0.02435528578632513,0.0008136150196522553
Mor04se_diff,144.3673553466797,0.024278848384407865,0.0008110615444514838
Mor28v_diff,144.24224853515625,0.024257808660423586,0.0008103586894083063
Mor17m_diff,143.48284912109375,0.024130097356209718,0.0008060923532955056
Mor18m_diff,143.3765869140625,0.02411222680640773,0.0008054953679898966
Mor27p_diff,142.9561004638672,0.02404151188094917,0.0008031330583881354
Mor15m_diff,142.93154907226562,0.0240373829730469,0.0008029951276936029
Mor10m_diff,142.75428771972656,0.02400757220666986,0.0008019992663645881
Mor12v_diff,141.70809936523438,0.02383163043382756,0.0007961217385776174
Mor25_diff,141.44705200195312,0.02378772903147081,0.0007946551641077211
Mor10v_diff,140.88009643554688,0.0236923817959104,0.0007914699851853769
Mor04p_diff,140.75547790527344,0.023671424188180235,0.000790769873325683
Mor22se_diff,140.27471923828125,0.023590573037604236,0.0007880689520126704
Mor16m_diff,140.1324920654297,0.023566654112460016,0.0007872699140986008
Mor05v_diff,139.57833862304688,0.023473459862437207,0.0007841566580182161
Mor17_diff,139.56007385253906,0.02347038820130668,0.0007840540458110343
Mor10p_diff,139.4982452392578,0.02345999023062925,0.000783706690202429
Mor05se_diff,139.44190979003906,0.023450516067810616,0.0007833901954080137
Mor28_diff,139.31533813476562,0.023429229995063992,0.0007826791108143857
Mor13v_diff,137.7628173828125,0.023168136232836367,0.000773956987479451
Mor16p_diff,137.72557067871094,0.023161872302327084,0.0007737477340143459
Mor29v_diff,137.64198303222656,0.023147815026075606,0.0007732781352917547
Mor29m_diff,137.21701049804688,0.023076345657532357,0.0007708906226917383
Mor28m_diff,136.46600341796875,0.022950045726436104,0.0007666714350450611
Mor14p_diff,136.36573791503906,0.022933183666879978,0.0007661081394616096
Mor10_diff,136.18556213378906,0.022902882769111184,0.0007650959047561773
Mor29_diff,134.81948852539062,0.022673144585291155,0.0007574212488895419
Mor31v_diff,134.73484802246094,0.02265891024586674,0.0007569457351775642
Mor08p_diff,134.20413208007812,0.0225696575760415,0.0007539641519043902
Mor09m_diff,133.90403747558594,0.02251918943948841,0.0007522782084802934
Mor21_diff,133.60633850097656,0.022469124185807075,0.0007506057238001626
Mor20_diff,133.10386657714844,0.022384621428055855,0.0007477828165466156
Mor03_diff,132.87481689453125,0.02234610120647664,0.0007464960063193762
Mor12se_diff,132.02772521972656,0.02220364233625013,0.0007417370115978255
Mor12m_diff,131.88014221191406,0.022178822698443578,0.0007409078843899205
Mor18se_diff,131.678466796875,0.02214490611936074,0.000739774863886728
Mor20v_diff,131.3821563720703,0.022095074383777048,0.0007381101801346287
Mor05_diff,131.2242431640625,0.022068517473969353,0.0007372230174511499
Mor17v_diff,131.1284942626953,0.022052414989763798,0.0007366850963149213
Mor30p_diff,130.68406677246094,0.021977673801720613,0.0007341882849979819
Mor32m_diff,130.49417114257812,0.021945738277268322,0.0007331214437963302
Mor32p_diff,130.27432250976562,0.021908765433852607,0.000731886325432859
Mor04v_diff,129.25680541992188,0.02173764542480668,0.0007261698739510632
Mor25m_diff,128.6456756591797,0.021634869234381713,0.0007227365226479411
Mor21p_diff,128.6333770751953,0.02163280093123117,0.0007226674287139491
Mor02p_diff,128.13157653808594,0.021548411083329357,0.0007198482933376918
Mor32v_diff,128.11549377441406,0.02154570637920941,0.0007197579397317023
Mor25v_diff,128.03372192382812,0.021531954472777927,0.0007192985422226904
Mor20m_diff,127.46958923339844,0.021437081971811624,0.0007161292223298606
Mor08m_diff,127.26717376708984,0.021403040935281142,0.0007149920441892007
Mor19p_diff,126.74800109863281,0.02131572954502586,0.0007120753114880676
Mor11m_diff,126.56705474853516,0.02128529905754354,0.0007110587476962004
Mor30se_diff,126.5306396484375,0.02127917498127955,0.0007108541662154658
Mor18v_diff,126.30484771728516,0.021241202629083262,0.0007095856581655307
Mor31m_diff,126.27020263671875,0.02123537622424044,0.000709391020724924
Mor14m_diff,126.05528259277344,0.021199232241764704,0.00070818359136974
Mor13_diff,125.64456939697266,0.021130160924454935,0.0007058761882998919
Mor10se_diff,125.40668487548828,0.02109015491190281,0.0007045397435964968
Mor31se_diff,125.4031753540039,0.02108956470132635,0.0007045200269652087
Mor28se_diff,124.90560150146484,0.02100588567224923,0.0007017246372709811
Mor20se_diff,124.48689270019531,0.02093546970127831,0.0006993723145715898
Mor17se_diff,123.87232971191406,0.020832116130941592,0.0006959196752595988
Mor06v_diff,122.95867919921875,0.020678463788825898,0.0006907867503394458
Mor11v_diff,122.9002456665039,0.020668636782727866,0.0006904584684284997
Mor09_diff,122.56242370605469,0.020611823882477846,0.0006885605712180562
Mor14se_diff,122.48706817626953,0.020599151034948103,0.000688137220854508
Mor14_diff,122.21072387695312,0.020552677084317874,0.000686584707589541
Mor24se_diff,121.72705841064453,0.02047133708541659,0.0006838674557623528
Mor28p_diff,121.09402465820312,0.02036487721115464,0.0006803110469626479
Mor23v_diff,120.6505126953125,0.020290289991087923,0.0006778193791147402
Mor20p_diff,119.67523956298828,0.0201262743210895,0.0006723402558665141
Mor16_diff,119.42965698242188,0.020084973694468575,0.0006709605631610112
Mor31_diff,118.8733139038086,0.019991411204368717,0.0006678350056171923
Mor24v_diff,117.55032348632812,0.019768918496907952,0.0006604023928307388
Mor03m_diff,117.5010757446289,0.019760636302840476,0.000660125717059077
Mor25se_diff,111.4701156616211,0.018746385088525837,0.0006262435434353841
Mor16se_diff,105.61935424804688,0.01776243862117941,0.0005933737331038492
Mor25p_diff,105.31182098388672,0.01771071949481752,0.0005916459989938701
GRAV_diff,100.6125259399414,0.016920419834540675,0.0005652451725257059
Mor32se_diff,100.08036041259766,0.016830923382086027,0.0005622554454265651
MDEO-22_diff,91.06065368652344,0.015314042425526921,0.0005115823742867505
AATSC8d_diff,79.58180236816406,0.013383597068843886,0.00044709373101666633
ATSC2d_diff,76.13188171386719,0.01280340980765335,0.00042771193956256767
MAXaasC_diff,75.88988494873047,0.012762712222273591,0.0004263523921107721
MINsOH_diff,74.03751373291016,0.012451191381619936,0.0004159456969434823
MATS5pe_diff,73.31983947753906,0.012330497167933569,0.0004119137744317998
MDEN-13_diff,72.60173797607422,0.012209731102524853,0.00040787945163456914
EState_VSA4_diff,72.46946716308594,0.012187486579124718,0.0004071363489462189
MATS8i_diff,70.27765655517578,0.011818880828129284,0.0003948226697731964
GATS4s_diff,69.87250518798828,0.011750744866276554,0.0003925465132777156
MATS3s_diff,69.53734588623047,0.011694379756224761,0.0003906635749897059
Xp-7d_diff,69.4051284790039,0.01167214421428992,0.00038992077233704917
MATS4d_diff,68.94253540039062,0.011594348044980328,0.00038732190602207316
MATS5s_diff,67.97468566894531,0.01143158079865776,0.00038188448773524545
MATS8d_diff,67.50801086425781,0.011353098188786418,0.0003792626901208366
MDEC-12_diff,67.24862670898438,0.011309476494920248,0.0003778054596196813
MAXaaCH_diff,66.51659393310547,0.011186367550136285,0.0003736928703686854
GATS5d_diff,65.95479583740234,0.011091887667509973,0.00037053666632188626
GATS5pe_diff,65.47015380859375,0.011010383436100456,0.00036781392812773096
MDEC-23_diff,64.5179214477539,0.01085024262684313,0.0003624642488501351
GATS6d_diff,63.7475471496582,0.010720685631511358,0.00035813625540231724
AMID_diff,63.36768341064453,0.010656802393475304,0.00035600216580771533
MAXsSH_diff,62.88938903808594,0.010576365673369297,0.0003533150889988462
MINaaCH_diff,62.31681823730469,0.010480074100886552,0.00035009836346644116
MATS4i_diff,62.19991683959961,0.010460414314891364,0.00034944160676446005
MAXsBr_diff,62.161930084228516,0.010454025926934436,0.00034922819566188777
MATS5c_diff,62.014793395996094,0.01042928134851641,0.0003484015758951358
ATSC8are_diff,61.88444900512695,0.010407360799400092,0.00034766929592287306
MDEC-13_diff,61.861717224121094,0.010403537902851052,0.000347541587873041
EState_VSA5_diff,60.95881271362305,0.010251692759859144,0.0003424690344206472
MATS1v_diff,60.592159271240234,0.01019003115141687,0.00034040916079794805
