variable,relative_importance,scaled_importance,percentage
mol_1_MAXdsN,201.63648986816406,0.061465609043857956,0.0012033812650225966
mol_2_WNSA5,201.0145721435547,0.06127602752642885,0.001199669614722248
mol_2_RASA,200.07742309570312,0.06099035285995985,0.001194076640913511
mol_2_WNSA1,197.8817901611328,0.060321049820374326,0.0011809729435616275
mol_1_DPSA4,194.3177490234375,0.05923460976515893,0.0011597024863359707
mol_2_WPSA3,193.09078979492188,0.0588605911720858,0.00115237990425022
mol_1_Mor08p,192.814208984375,0.0587762800040962,0.0011507292498181057
mol_2_Mor12p,192.78761291503906,0.05876817262432097,0.0011505705225382217
mol_2_DPSA3,191.1663818359375,0.05827396666118918,0.0011408948973171183
mol_1_MINtN,190.0968017578125,0.05794792254602871,0.0011345115654693035
mol_2_DPSA5,189.56552124023438,0.05778597030907285,0.001131340844625358
mol_1_Mor14m,189.3490753173828,0.0577199902849124,0.0011300490795851095
mol_2_PNSA5,185.39942932128906,0.056516004851441176,0.001106477304465049
mol_1_PNSA5,184.77572631835938,0.05632587912091183,0.0011027549994935893
mol_1_PNSA4,181.93389892578125,0.05545959419601287,0.0010857947665273613
mol_2_DPSA4,179.1742401123047,0.05461835702790658,0.001069324921628933
mol_2_FNSA4,175.10684204101562,0.05337847678679022,0.001045050393543374
mol_2_PPSA3,173.72183227539062,0.0529562790544676,0.0010367845543348248
mol_2_Mor02,173.64569091796875,0.05293306859831246,0.0010363301371652204
mol_2_FNSA2,171.62966918945312,0.052318517117725366,0.0010242983725795524
mol_1_MAXtN,170.9766082763672,0.052119442105103345,0.0010204008574609348
mol_2_WPSA2,168.2889404296875,0.05130015021397901,0.001004360659898417
mol_2_PNSA4,167.9390869140625,0.05119350305190985,0.0010022727086229277
mol_1_RPCS,164.90786743164062,0.05026948502444624,0.0009841821698632867
mol_1_WNSA2,163.3652801513672,0.04979925234608872,0.0009749758965644561
mol_2_WNSA2,163.27615356445312,0.04977208355362336,0.0009744439825989932
mol_1_DPSA5,163.09031677246094,0.04971543422586514,0.0009733348950822371
mol_2_RPCS,162.5865020751953,0.04956185449814361,0.0009703280922553832
mol_2_MAXsBr,160.4893035888672,0.04892255760137509,0.000957811858863644
mol_1_FNSA4,160.36317443847656,0.04888410917841348,0.0009570591109029325
mol_1_FNSA5,155.48512268066406,0.047397114327246186,0.000927946542542909
mol_1_Mor02se,154.4365997314453,0.04707748913583202,0.0009216888811748646
mol_1_DPSA2,150.93214416503906,0.04600921277426107,0.000900774034980732
mol_2_MAXaaO,147.22930908203125,0.044880463639048254,0.0008786752453753713
mol_2_MINsBr,146.84173583984375,0.044762318230963966,0.000876362180023076
mol_2_Mor02se,146.4352264404297,0.044638400442902015,0.0008739361023045523
mol_2_Mor05m,144.49903869628906,0.04404818505582268,0.0008623807927552312
mol_1_FNSA2,143.7707061767578,0.043826164716504606,0.0008580340512042169
mol_2_FNSA5,142.46829223632812,0.04342914498000719,0.000850261149899289
mol_2_FPSA3,141.1612091064453,0.043030701916939945,0.0008424603825314555
mol_2_PNSA2,140.67770385742188,0.04288331319465779,0.0008395747879716845
